;2003;2005;2007;2010;2013;2016
SLOVENIJA;77149;77175;75340;74646;72377;69902
Pomurska;10059;9884;9794;8890;8446;7914
Podravska;12913;13213;12746;12318;11427;10990
Koroška;2785;2828;2702;2743;2746;2839
Savinjska;11784;11491;11445;11434;10956;10274
Zasavska;1018;1071;942;1075;907;1674
Posavska;5228;5209;5074;5227;5024;5189
Jugovzhodna Slovenija;8379;8450;8137;8079;8436;8141
Osrednjeslovenska;8687;8844;8565;8673;8671;7621
Gorenjska;4684;4530;4480;4476;4545;4398
Primorsko-notranjska;2613;2766;2816;2881;2637;2427
Goriška;5876;5617;5704;5790;5601;5311
Obalno-kraška;3124;3271;2934;3060;2980;3124
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
 ;;;;;;
